name,singer,style
Numb,Linkin Park,摇滚
In The End,Linkin Park,摇滚
Leave Out All The Rest (Single Version),Linkin Park,摇滚
New Divide - (电影《变形金刚2:堕落金刚的复仇》主题曲),Linkin Park,摇滚
Faint,Linkin Park,摇滚
What I've Done - (电影《变形金刚1》主题曲),Linkin Park,摇滚
Numb Encore,Dr. Dre/50 Cent/Jay-Z/Eminem/Linkin Park,摇滚
Good Goodbye,Linkin Park/Pusha T/Stormzy,摇滚
Battle Symphony,Linkin Park,摇滚
Heavy,Linkin Park/Kiiara,摇滚
Invisible,Linkin Park,摇滚
A LIGHT THAT NEVER COMES,Linkin Park/Steve Aoki,摇滚
From The Inside,Linkin Park,摇滚
Iridescent - (电影《变形金刚3:月黑之时》主题曲),Linkin Park,摇滚
Somewhere I Belong,Linkin Park,摇滚
Burn It Down,Linkin Park,摇滚
In My Remains,Linkin Park,摇滚
Bleed It Out,Linkin Park,摇滚
Roads Untraveled,Linkin Park,摇滚
My December,Linkin Park,摇滚
Crawling,Linkin Park,摇滚
Given Up,Linkin Park,摇滚
Lying From You,Linkin Park,摇滚
Burning In The Skies,Linkin Park,摇滚
Lost In The Echo,Linkin Park,摇滚
Valentine's Day,Linkin Park,摇滚
Breaking The Habit,Linkin Park,摇滚
Skin To Bone,Linkin Park,摇滚
Final Masquerade,Linkin Park,摇滚
Figure.09,Linkin Park,摇滚
Powerless,Linkin Park,摇滚
Don't Stay,Linkin Park,摇滚
Papercut,Linkin Park,摇滚
The Catalyst,Linkin Park,摇滚
Waiting For The End,Linkin Park,摇滚
Castle Of Glass,Linkin Park,摇滚
One Step Closer,Linkin Park,摇滚
I'll Be Gone,Linkin Park,摇滚
The Messenger,Linkin Park,摇滚
Shadow Of The Day,Linkin Park,摇滚
Until It's Gone,Linkin Park,摇滚
平淡日子里的刺,宋冬野,摇滚
南方姑娘,赵雷,摇滚
薄杯,岸生,摇滚
半生空,岸生,摇滚
如果再也见不到你（Forget It）,邵新顺,摇滚
盼兮,翁大涵,摇滚
太多,尹刚,摇滚
许少年,翁大涵,摇滚
这样的你和我,岸生,摇滚
姚温柔（2018 Live）,黑山大马猴,摇滚
醒着醉,马良,摇滚
涩,纣王老胡,摇滚
七,张力夫,摇滚
盼,丛帅,摇滚
画,赵雷,摇滚
猫,李上安,摇滚
我走,赵老邪,摇滚
暗河,冯佳界,摇滚
秋酿,房东的猫,摇滚
玫瑰,贰佰,摇滚
栖息,郭诚（橙子）,摇滚
逝年,夏小虎,摇滚
小路,张钧,摇滚
南下,徐海俏,摇滚
贪得,陈粒,摇滚
码头,易思宏,摇滚
途中,陈鸿宇,摇滚
麻雀,刘昰,摇滚
失眠,张力夫,摇滚
致你,琪叔,摇滚
理想,赵雷,摇滚
佳佳,张晏铭,摇滚
五岁,大可乐/那小娜,摇滚
走马,陈粒,摇滚
傲寒,马頔,摇滚
祝星 - (Demo),陈粒,摇滚
米店,张玮玮和郭龙,摇滚
姑娘,赵光,摇滚
忽然,李志,摇滚
颜色,杨牧,摇滚
立秋,筠子,摇滚
岛歌,汤旭,摇滚
情歌,陈珊妮,摇滚
扬州,李晋,摇滚
眼泪,纣王老胡,摇滚
远方,刘明汉,摇滚
春天,李晋,摇滚
青春,王梵瑞,摇滚
种种,陈粒,摇滚
鸽子,宋冬野,摇滚
活着,郝云,摇滚
海风,郝云,摇滚
定西,李志,摇滚
热河,李志,摇滚
九月,李志,摇滚
背包客,大冰,摇滚
背包客,杨梓桐,摇滚
不找了,郭旭,摇滚
在路旁,钟立风,摇滚
关忆北,宋冬野,摇滚
从前慢,燕池,摇滚
空港曲,宋冬野,摇滚
七月上,Jam,摇滚
时空梦,马雨阳,摇滚
董小姐,宋冬野,摇滚
鸟与人,侯康,摇滚
他妈的 - (电影《推拿》片尾曲),尧十三,摇滚
差三岁,Jam,摇滚
鸽子吧,尧十三,摇滚
鲨啦啦,鹏泊,摇滚
怪情歌,陈粒,摇滚
南山南,马頔,摇滚
天空梦,邵夷贝,摇滚
东门外,杨学,摇滚
妙龄童,陈粒,摇滚
流浪者,小舟与旅行者,摇滚
在路上,花粥,摇滚
我的世界,白羽,摇滚
莉莉安,宋冬野,摇滚
时间之浪,铁风筝,摇滚
安和桥,宋冬野,摇滚
梵高先生,李志,摇滚
春风十里,鹿先森乐队,摇滚
来日方长,李上安,摇滚
那座城市,九阳,摇滚
南方 南方,张小九,摇滚
额尔古纳,陈鸿宇,摇滚
吉姆餐厅,赵雷,摇滚
麻朵姑娘,左卡乐队,摇滚
安阳安阳,李晋,摇滚
理想三旬,陈鸿宇,摇滚
少年锦时,赵雷,摇滚
一个西藏,六个国王,摇滚
小雨日记,崔跃文,摇滚
我喜欢你,小晏晏,摇滚
逝去八零,王亚伟,摇滚
行吟诗人,大冰,摇滚
农夫渔夫,大乔小乔,摇滚
K434列车,一盛,摇滚
再见旅人,张尧,摇滚
孤鸟的歌,马頔,摇滚
夜长梦多,李上安,摇滚
独自旅行,靳松,摇滚
不开的唇,赵雷,摇滚
十月迷城,李晋,摇滚
火车日记,丢火车,摇滚
时过境迁,邵夷贝,摇滚
历历万乡,陈粒,摇滚
迷幻世界,不可撤销,摇滚
天空之城,李志,摇滚
这个冬天,杨朗朗,摇滚
晚安小姐（demo）,吴宇嘉,摇滚
北方女王,尧十三,摇滚
人模狗样,川子,摇滚
鼓楼先生,王梵瑞,摇滚
那些花儿 - (电影《那时花开》片尾曲),朴树,摇滚
且听风吟,温莎森林,摇滚
狗日的青春,贰佰,摇滚
酒吧叙事体,肖晨/陈小二,摇滚
理想与爱情,茉莉僧,摇滚
斑马，斑马,宋冬野,摇滚
达摩流浪者,万晓利,摇滚
好多多的云,崔跃文,摇滚
南国的孩子,张悬,摇滚
Mr.Beeno,崔跃文,摇滚
南方的秋天,宁夏,摇滚
北京的冬天,老狼,摇滚
想和你鬼闹,向日葵乐队,摇滚
南方的女王,尧十三,摇滚
阁楼上的猫,刘昰,摇滚
这么孤独着,张艺德,摇滚
花落知多少,倪健,摇滚
我们的时光,赵雷,摇滚
给郁结的诗,小安,摇滚
贝加尔湖畔,李健,摇滚
消失的光年,大乔小乔,摇滚
让我偷偷看你,赵雷,摇滚
乌兰巴托的夜,大冰,摇滚
你今天怎么样,龚明杰,摇滚
迷雾中的旅行,金科,摇滚
青春丢在路上,翟小树,摇滚
赶在七月之前,侯康,摇滚
去美术馆流浪,唐宁,摇滚
犀安路999号,赵照,摇滚
第36个故事 - (Taipei Exchanges),雷光夏,摇滚
诗了你的青春,先知歌者麦子,摇滚
我没去过大理,左成,摇滚
化身孤岛的鲸,李逸朗,摇滚
当你老了 (Live),李健,摇滚
蒲公英的梦想,小果,摇滚
梦中的哈德森,赵雷,摇滚
我的名字叫做安,安来宁,摇滚
关于郑州的记忆,李志,摇滚
你笑着流出了泪,尹吾,摇滚
这谜一样的冬季,雨镈,摇滚
谁的青春不青春,南方小镇,摇滚
流浪春天的侧记,好妹妹/南方二重唱,摇滚
一往情深的恋人,李健,摇滚
你笑起来好美丽,花粥,摇滚
当我唱起这首歌,成方圆,摇滚
安静的为你歌唱,刘昰,摇滚
我一直站在这里,刘明汉,摇滚
二十岁的某一天,花粥,摇滚
城市之光（旧版）,冯佳界,摇滚
一切都是因为你,大乔小乔,摇滚
一把破吉他1999,赵照,摇滚
这个地方（demo）,吴宇嘉,摇滚
从前慢 - 吉他弹唱,洪尘,摇滚
你飞到城市另一边 - (电视剧《长大》插曲),好妹妹,摇滚
面朝大海 春暖花开,蒋山,摇滚
